crop_name,adm_id,awc,bulk_density,drainage_class
maize,NL11,24.761455535888672,1.0614863634109497,1
maize,NL12,21.22371864318848,1.2115793228149414,3
maize,NL13,21.21421241760254,1.1732759475708008,3
maize,NL21,17.185617446899414,1.3293334245681765,3
maize,NL22,15.439637184143066,1.4324558973312378,3
maize,NL23,16.910215377807617,1.423400640487671,4
maize,NL31,17.410966873168945,1.383413314819336,4
maize,NL32,20.88165664672852,1.2863655090332031,4
maize,NL33,20.956342697143555,1.2956502437591553,4
maize,NL34,16.36098861694336,1.4245965480804443,4
maize,NL41,16.25349235534668,1.3922590017318726,3
maize,NL42,16.127748489379883,1.4174705743789673,5
