crop_name,adm_id,sos,eos
maize,NL11,101.5834503173828,300.0
maize,NL12,101.57135009765624,298.10455322265625
maize,NL13,101.02429962158205,300.3304748535156
maize,NL21,101.17108154296876,300.941650390625
maize,NL22,101.35700225830078,300.6071472167969
maize,NL23,102.0,297.48516845703125
maize,NL31,101.90863037109376,298.81256103515625
maize,NL32,102.0,297.4227600097656
maize,NL33,102.0211410522461,298.24249267578125
maize,NL34,102.0937957763672,298.5531311035156
maize,NL41,101.96968841552734,300.6224670410156
maize,NL42,102.0559539794922,302.12469482421875
