crop_name,adm_id,date,fpar
wheat,NL11,20190711,65.76495188481296
wheat,NL12,20190711,65.84727835583455
wheat,NL13,20190711,73.71608912331051
wheat,NL21,20190711,72.15527303042934
wheat,NL22,20190711,65.23693013476058
wheat,NL23,20190711,66.67485568259333
wheat,NL31,20190711,69.44093178036606
wheat,NL32,20190711,63.231707784247625
wheat,NL33,20190711,64.28664645891506
wheat,NL34,20190711,61.74493396781265
wheat,NL41,20190711,66.59140375329082
wheat,NL42,20190711,65.37160269811842
wheat,NL11,20120821,56.02365482478354
wheat,NL12,20120821,58.012640811763696
wheat,NL13,20120821,74.8303632026993
wheat,NL21,20120821,80.76552730304293
wheat,NL22,20120821,71.20039663576412
wheat,NL23,20120821,62.94699707801794
wheat,NL31,20120821,76.91514143094842
wheat,NL32,20120821,59.58674915721728
wheat,NL33,20120821,56.11318331815264
wheat,NL34,20120821,54.73291450569428
wheat,NL41,20120821,63.51825259393786
wheat,NL42,20120821,69.26166620646129
wheat,NL11,20091121,42.8088367942503
wheat,NL12,20091121,41.928196749505545
wheat,NL13,20091121,44.41546277802556
wheat,NL21,20091121,53.05557871335279
wheat,NL22,20091121,49.91154544585683
wheat,NL23,20091121,39.90404292361104
wheat,NL31,20091121,54.75984470327232
wheat,NL32,20091121,42.97013867606497
wheat,NL33,20091121,38.89069895925102
wheat,NL34,20091121,36.42999518793776
wheat,NL41,20091121,41.87950331545382
wheat,NL42,20091121,47.57743284288589
wheat,NL11,20190221,46.79369558401466
wheat,NL12,20190221,45.48745951213919
wheat,NL13,20190221,44.80998274156955
wheat,NL21,20190221,64.31492288453522
wheat,NL22,20190221,57.46246296473287
wheat,NL23,20190221,33.28292320379552
wheat,NL31,20190221,64.312257348863
wheat,NL32,20190221,43.30229083665338
wheat,NL33,20190221,35.769168744680535
wheat,NL34,20190221,36.27551729669037
wheat,NL41,20190221,43.51780208641298
wheat,NL42,20190221,48.42193601830303
wheat,NL11,20150801,61.377965897306034
wheat,NL12,20150801,63.93450282340127
wheat,NL13,20150801,77.95952995016386
wheat,NL21,20150801,82.61442267611505
wheat,NL22,20150801,72.85379432285195
wheat,NL23,20150801,67.48595514197575
wheat,NL31,20150801,75.41874653355518
wheat,NL32,20150801,61.09320410665032
wheat,NL33,20150801,58.56003344731302
wheat,NL34,20150801,54.69399561567663
wheat,NL41,20150801,66.435148033957
wheat,NL42,20150801,67.79028440692674
wheat,NL11,20090401,51.85844729035526
wheat,NL12,20090401,38.38988735058904
wheat,NL13,20090401,39.4179836723613
wheat,NL21,20090401,58.55418924551897
wheat,NL22,20090401,59.12830928032113
wheat,NL23,20090401,28.95258651408558
wheat,NL31,20090401,63.89628397115918
wheat,NL32,20090401,39.29028118296046
wheat,NL33,20090401,35.55335891654597
wheat,NL34,20090401,37.875586804256
wheat,NL41,20090401,42.49748701271276
wheat,NL42,20090401,46.73557256124019
wheat,NL11,20070221,43.68585968212624
wheat,NL12,20070221,36.15257832430418
wheat,NL13,20070221,40.04271946324342
wheat,NL21,20070221,58.14811727108518
wheat,NL22,20070221,54.37706680684316
wheat,NL23,20070221,25.80453263558709
wheat,NL31,20070221,59.942318358291736
wheat,NL32,20070221,33.97963913576464
wheat,NL33,20070221,30.96725448328381
wheat,NL34,20070221,34.32051542533284
wheat,NL41,20070221,40.70149652968422
wheat,NL42,20070221,51.45852234625853
wheat,NL11,20110621,78.68495767310614
wheat,NL12,20110621,72.16596439934646
wheat,NL13,20110621,76.93924644650856
wheat,NL21,20110621,76.16034458802278
wheat,NL22,20110621,69.81047500716812
wheat,NL23,20110621,72.41589884037019
wheat,NL31,20110621,70.477537437604
wheat,NL32,20110621,66.08749616916947
wheat,NL33,20110621,66.32729091696406
wheat,NL34,20110621,63.77852216221997
wheat,NL41,20110621,67.90516816601202
wheat,NL42,20110621,67.29835114985602
wheat,NL11,20181121,49.27646335286882
wheat,NL12,20181121,50.94854816980537
wheat,NL13,20181121,56.22088851829587
wheat,NL21,20181121,64.68709184382382
wheat,NL22,20181121,58.09347223549651
