crop_name,adm_id,awc,bulk_density,drainage_class
wheat,NL11,20.64035415649414,1.2717734575271606,4
wheat,NL12,17.19808006286621,1.4104342460632324,4
wheat,NL13,25.27132225036621,0.978715181350708,1
wheat,NL21,19.34039306640625,1.222934603691101,3
wheat,NL22,15.207829475402832,1.463321566581726,5
wheat,NL23,16.830305099487305,1.4289212226867676,4
wheat,NL31,16.154544830322266,1.4226722717285156,5
wheat,NL32,18.56949806213379,1.3681169748306274,4
wheat,NL33,17.121870040893555,1.4194912910461426,4
wheat,NL34,16.696990966796875,1.4267696142196655,4
wheat,NL41,16.502426147460938,1.4210561513900757,4
wheat,NL42,14.833271980285645,1.512860655784607,5
