crop_name,adm_id,planting_doy,maturity_doy
Grain maize,US-20-161,122.0,260.0
Grain maize,US-19-159,133.0,270.0
Grain maize,US-30-009,134.0,252.0
Grain maize,US-16-007,136.0,279.0
Grain maize,US-55-011,138.0,283.0
Grain maize,US-31-185,132.0,278.0
Grain maize,US-08-037,128.0,284.0
Grain maize,US-42-129,121.0,283.0
Grain maize,US-40-079,110.0,244.0
Grain maize,US-48-053,85.0,283.0
Grain maize,US-36-017,136.0,288.0
Grain maize,US-20-109,122.0,260.0
Grain maize,US-47-053,124.0,258.0
Grain maize,US-27-061,136.0,281.0
Grain maize,US-25-017,132.25,281.75
Grain maize,US-36-119,136.0,288.0
Grain maize,US-46-093,142.0,280.0
Grain maize,US-54-107,121.0,273.5
Grain maize,US-19-021,133.0,270.0
Grain maize,US-47-021,108.0,269.0
Grain maize,US-05-019,87.0,211.0
Grain maize,US-51-105,128.66666666666666,262.6666666666667
Grain maize,US-27-013,136.0,281.0
Grain maize,US-56-033,131.0,282.3333333333333
Grain maize,US-22-087,97.33333333333331,227.33333333333331
Grain maize,US-19-015,133.0,270.0
Grain maize,US-39-035,125.25,281.75
Grain maize,US-45-027,95.0,263.0
Grain maize,US-41-035,135.16666666666666,293.0
Grain maize,US-45-015,135.5,260.5
Grain maize,US-25-005,121.0,283.0
Grain maize,US-25-015,128.5,285.5
Grain maize,US-49-025,130.0,285.0
Grain maize,US-37-127,126.5,269.5
Grain maize,US-44-007,136.0,288.0
Grain maize,US-42-111,121.0,283.0
Grain maize,US-45-059,117.0,273.75
Grain maize,US-48-057,87.75,243.25
Grain maize,US-49-017,130.0,285.0
Grain maize,US-48-341,97.0,230.0
Grain maize,US-27-167,137.0,278.75
Grain maize,US-48-185,97.0,230.0
Grain maize,US-05-073,86.0,205.5
Grain maize,US-49-047,130.0,285.0
Grain maize,US-53-043,130.0,286.0
Grain maize,US-25-025,136.0,278.0
Grain maize,US-36-025,128.5,285.5
Grain maize,US-06-059,117.0,277.0
Grain maize,US-36-115,136.0,288.0
Grain maize,US-37-043,106.0,241.0
Grain maize,US-06-111,88.66666666666667,259.6666666666667
Grain maize,US-46-127,142.0,280.0
Grain maize,US-13-021,106.0,269.0
