crop_name,adm_id,sos,eos
maize,ES412,117.29519653320312,313.5131530761719
maize,ES413,118.74297332763672,313.1656494140625
maize,ES514,118.81116485595705,305.9916381835937
maize,ES521,122.29655456542967,309.80230712890625
maize,ES522,119.3968276977539,307.3915405273437
maize,ES523,122.22259521484376,309.81597900390625
maize,ES532,121.73542785644533,306.52606201171875
maize,ES533,119.6854248046875,306.0070495605469
maize,ES611,123.11111450195312,310.1111145019531
maize,ES612,124.1709976196289,307.6808166503906
maize,ES613,118.18177795410156,311.2503662109375
maize,ES414,117.65493774414062,312.97088623046875
maize,ES614,117.92732238769533,310.91912841796875
maize,ES615,122.9928207397461,309.8246154785156
maize,ES616,118.33151245117188,312.7077331542969
maize,ES617,116.95269775390624,308.0832824707031
maize,ES415,121.71580505371094,314.3524475097656
maize,ES416,121.3388671875,315.64776611328125
maize,ES417,121.37142944335938,314.52783203125
maize,ES418,122.95686340332033,314.8385009765625
maize,ES419,122.28390502929688,314.00592041015625
maize,ES111,100.1152801513672,296.9297790527344
maize,ES112,105.23194885253906,301.51300048828125
maize,ES113,101.0868148803711,298.9414367675781
maize,ES618,121.0515365600586,308.7867736816406
maize,ES620,123.89197540283205,309.3914794921875
maize,ES705,156.36363220214844,309.5454406738281
maize,ES707,153.0,298.0
maize,ES709,153.7142791748047,298.0
maize,ES114,99.2386245727539,296.95269775390625
maize,ES120,106.26647186279295,306.3161315917969
maize,ES130,106.07096099853516,309.1954650878906
maize,ES211,106.95702362060548,307.8666381835937
maize,ES212,106.47291564941406,306.9300231933594
maize,ES213,105.97441864013672,308.0
maize,ES421,122.635986328125,311.5052490234375
maize,ES422,121.11457824707033,315.6503295898437
maize,ES423,120.67545318603516,313.2597351074219
maize,ES424,122.98219299316406,315.8094177246094
maize,ES425,119.96151733398438,315.46710205078125
maize,ES220,113.97010040283205,309.352294921875
maize,ES431,119.58133697509766,315.37078857421875
maize,ES432,116.60285186767578,313.5993957519531
maize,ES511,110.46424102783205,303.3880920410156
maize,ES230,118.26592254638672,311.21826171875
maize,ES241,118.69459533691406,307.7830505371094
maize,ES242,123.29168701171876,311.77105712890625
maize,ES243,122.24849700927734,310.49658203125
maize,ES512,107.6794204711914,301.568115234375
maize,ES513,117.5567398071289,306.24151611328125
maize,ES300,121.88015747070312,314.86505126953125
maize,ES411,122.6154556274414,315.9100952148437
