crop_name,adm_id,awc,bulk_density,drainage_class
wheat,ES412,14.96469783782959,1.446163773536682,5
wheat,ES413,14.672012329101562,1.453610897064209,5
wheat,ES514,15.570476531982422,1.480804204940796,5
wheat,ES521,14.54408359527588,1.4518656730651855,5
wheat,ES522,15.601359367370604,1.454045295715332,5
wheat,ES523,14.738561630249023,1.4454416036605835,5
wheat,ES531,15.386823654174805,1.479094386100769,5
wheat,ES532,15.770526885986328,1.48055899143219,5
wheat,ES533,13.975061416625977,1.474429726600647,5
wheat,ES611,15.486031532287598,1.4599661827087402,5
wheat,ES612,14.696382522583008,1.5449799299240112,5
wheat,ES613,13.501036643981934,1.5561257600784302,6
wheat,ES414,15.208958625793455,1.4660481214523315,5
wheat,ES614,15.882636070251465,1.454642653465271,5
wheat,ES615,13.805220603942873,1.546231031417847,6
wheat,ES616,14.55101490020752,1.4863908290863037,5
wheat,ES617,15.623540878295898,1.472391963005066,5
wheat,ES415,13.768031120300291,1.51597797870636,5
wheat,ES416,13.86412525177002,1.5033613443374634,5
wheat,ES417,15.317999839782717,1.45622980594635,5
wheat,ES418,14.652405738830566,1.4865964651107788,5
wheat,ES419,15.566436767578123,1.4670664072036743,5
wheat,ES111,14.920133590698242,1.1755768060684204,4
wheat,ES112,14.765108108520508,1.1742788553237915,4
wheat,ES113,19.78104782104492,0.9803104996681212,4
wheat,ES618,14.241408348083496,1.5944485664367676,4
wheat,ES620,14.497126579284668,1.4475374221801758,5
wheat,ES640,14.90999984741211,1.3700000047683716,3
wheat,ES703,17.768800735473633,1.1267999410629272,5
wheat,ES704,15.740999221801758,1.32260000705719,5
wheat,ES705,13.530390739440918,1.4773712158203125,5
wheat,ES706,17.768800735473633,1.1267999410629272,5
wheat,ES707,13.14466667175293,1.3760000467300415,5
wheat,ES708,15.91942310333252,1.425527811050415,4
wheat,ES709,15.523423194885254,1.2079910039901731,5
wheat,ES114,14.79234218597412,1.1913541555404663,4
wheat,ES120,15.999857902526855,1.1504583358764648,4
wheat,ES130,14.637701988220217,1.3614410161972046,4
wheat,ES211,14.020191192626951,1.443018674850464,5
wheat,ES212,13.962385177612305,1.5803900957107544,5
wheat,ES213,14.29078197479248,1.4725160598754885,5
wheat,ES421,14.79366970062256,1.4681918621063232,5
wheat,ES422,14.067279815673828,1.4900920391082764,5
wheat,ES423,15.51345443725586,1.4651788473129272,5
wheat,ES424,15.168414115905762,1.455870270729065,5
wheat,ES425,14.946352005004885,1.4995466470718384,5
wheat,ES220,14.291791915893556,1.4727057218551636,5
wheat,ES431,13.30137825012207,1.5081942081451416,6
wheat,ES432,13.504150390625,1.4458894729614258,6
wheat,ES511,14.855990409851074,1.4434641599655151,6
wheat,ES230,14.373143196105955,1.4785735607147217,5
wheat,ES241,14.442312240600586,1.4710441827774048,5
wheat,ES242,14.828974723815918,1.459713339805603,5
wheat,ES243,14.876904487609863,1.4498053789138794,5
wheat,ES512,14.47891902923584,1.457242131233215,4
wheat,ES513,15.20270538330078,1.4757139682769775,5
wheat,ES300,15.3182373046875,1.481210231781006,5
wheat,ES411,13.882511138916016,1.5472406148910522,4
